Date,Region,Product,Salesperson,Customer_Type,Units_Sold,Unit_Price,Discount,Revenue,Cost,Gross_Profit,Gross_Margin,Sales_Target
2025-01-01,Ibadan,Product A,Salesperson 5,SME,43,15000,0.053,610815.0,402867.80219037517,207947.19780962483,0.34044219249629565,699695.3965668163
2025-01-01,Kano,Product C,Salesperson 2,Corporate,401,30000,0.141,10333770.0,7395834.711330008,2937935.2886699922,0.2843043041087611,9530327.59263552
2025-01-01,Ibadan,Product C,Salesperson 7,SME,472,30000,0.082,12998880.0,8593113.971822944,4405766.028177056,0.3389342795823222,14382193.011428429
2025-01-01,Kano,Product A,Salesperson 4,SME,205,15000,0.027,2991975.0,1847930.9261327933,1144044.0738672067,0.3823708666908001,2979308.231551687
2025-01-01,Kano,Product C,Salesperson 5,Retail,282,30000,0.126,7394040.0,4187508.453661821,3206531.546338179,0.4336643494406548,7811519.820661213
2025-01-02,Kano,Product E,Salesperson 8,Corporate,95,60000,0.038,5483400.0,3249852.0205274816,2233547.9794725184,0.40732902569072443,6149734.497792901
2025-01-02,Ibadan,Product A,Salesperson 3,Retail,265,15000,0.03,3855750.0,2431291.9194378997,1424458.0805621003,0.36943735474605466,3563630.7876416994
2025-01-02,Port Harcourt,Product E,Salesperson 8,Corporate,359,60000,0.126,18825960.0,12835997.507800752,5989962.492199248,0.31817567296431354,16996073.41819292
2025-01-02,Port Harcourt,Product B,Salesperson 3,Corporate,286,22000,0.024,6140992.0,4161315.8755559283,1979676.1244440717,0.3223707382201559,6116080.9590306105
2025-01-02,Port Harcourt,Product C,Salesperson 2,Corporate,408,30000,0.073,11346480.0,6490285.577251452,4856194.422748548,0.4279912733066597,13006490.804825926
2025-01-03,Kano,Product C,Salesperson 2,Corporate,395,30000,0.106,10593900.0,6084816.855713173,4509083.144286827,0.425630140390869,11042380.04852394
2025-01-03,Port Harcourt,Product E,Salesperson 4,Retail,174,60000,0.12,9187200.0,7037349.269616644,2149850.730383356,0.23400499938864464,10351385.520122
